dataset_uid,resource_name,resource_description,resource_machine_name,resource_type,location,category
3fead307-166b-4714-88d4-699acb71284a,Δημόσια Σημεία Πρόσβασης WiFi,Δημόσια Σημεία Πρόσβασης WiFi,dhmosia_wifi,shapefile,3fead307-166b-4714-88d4-699acb71284a/dhmosia_wifi.zip,1.ordinary
ec4efe37-76bb-426f-af38-36d57d39dfba,Δίκτυο ποταμών του Υδροσκόπιου,Δίκτυο ποταμών του Υδροσκόπιου,potamoi,shapefile,ec4efe37-76bb-426f-af38-36d57d39dfba/potamoi.zip,1.ordinary
6b2da554-ecb4-4a29-8a8b-bbf7195470ee,Φορείς Διαχείρισης,Φορείς Διαχείρισης Προστατευόμενων Περιοχών,oria_foreon_diaxeirisis,shapefile,6b2da554-ecb4-4a29-8a8b-bbf7195470ee/oria_foreon_diaxeirisis.zip,1.ordinary
6b1d06b6-b1d3-4ba2-8e62-c5c410ed502a,Αιολικός χάρτης,Αιολικός χάρτης της Ελλάδας,aiolikos_charths,shapefile,6b1d06b6-b1d3-4ba2-8e62-c5c410ed502a/aiolikos_charths.zip,3.minor_issues
57d0f331-6950-4deb-a2f6-30e560915a2e,Corine 2000,Corine 2000,corine_2000,shapefile,57d0f331-6950-4deb-a2f6-30e560915a2e/corine_2000.zip,4.gps
